Actor Names,Country,Actor Details,Likes
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Lee Won Keun,South Korean,"Lee Won Geun is a South Korean actor under Yooborn Company. He made his acting debut in the 2012 period drama ""Moon Embracing the Sun"". He is best known for his role as Yeol in ""Sassy Go Go"". Lee Won Geun is a South Korean actor and model. Born on June 27, 1991, he made his acting debut in the 2012…","2,367"
Chen Fei Yu,Chinese,"Chen Fei Yu (English name: Arthur) is a Chinese-American actor and assistant director. He is the son of director Chen Kaige and actress Chen Hong. He attended Tabor Academy, an American preparatory school, and attended Beijing Film Academy. In 2017, Chen worked as an assistant director with his father…","2,367"
Earth Pirapat Watthanasetsiri,Thai,"Earth Pirapat Watthanasetsiri, born in Bangkok, is a Thai actor under GMMTV. In 2018, he graduated with a bachelor's degree in performing arts from the Faculty of Fine Arts at Srinakharinwirot University. In 2016, Earth made his acting debut in GMMTV's special short film ""Little Big Dream."" (Source:…","2,360"
Perth Tanapon Sukumpantanasan,Thai,"Tanapon Sukumpantanasan, nicknamed Perth, is a Thai actor and singer born in Bangkok. He graduated from Saint Dominic School and is currently a student at Srinakharinwirot University (SWU), majoring in Innovative Media Arts and Acting and Director Training. Perth made his acting debut as Breeze in the…","2,353"
Yoon Kyun Sang,South Korean,"Yoon Kyun Sang is a South Korean actor. He first drew attention with a supporting role in the television series ""Pinocchio"". (2014) Before Yoon became an actor, he was a model for a shorter period. Respecting his father's wish, he then joined the army and completed his mandatory military service and…","2,341"
Ju Jing Yi,Chinese,"Ju Jingyi is a Chinese singer and actress. She rose to fame as a member of the Chinese idol girl group SNH48 and was part of Team NII until her graduation in December 2017. Ju Jing Yi studied at The Attached Middle School of Sichuan Conservatory of Music, majoring in violin, but dropped out to audition…","2,340"
Seol In Ah,South Korean,"Seol In Ah, also known as Seorina, is a South Korean actor under Gold Medalist. She majored in acting at Seoul Institute of the Arts. In 2015, Seol In Ah made her acting debut with a small role in the drama “Producer” (프로듀사). In 2018, Seol took on her first lead role in ""Sunny Again Tomorrow""…","2,337"
Kim Nam Gil,South Korean,"Kim Nam Gil is a South Korean actor, producer, singer, and philanthropist. Kim is also the founder and CEO of a non-profit organization Gilstory that focuses on preserving cultural heritage, promoting arts and raising special purpose relief funds. Starting from February 2021, he established an entertainment…","2,335"
Yeon Woo Jin,South Korean,"Yeon Woo Jin, born Kim Bong Hoe, is a South Korean actor under Jump Entertainment. He enlisted in the army when he was 20. He started in the entertainment industry as a model and gained recognition as an actor with his role in ""Arang and the Magistrate"" (2012), which earned him a nomination for Best…","2,315"
Kai,South Korean,"Kim Jong In, better known by his stage name Kai, is a South Korean singer, model, actor, dancer, and entertainer. He is a member of the South Korean-Chinese boy group EXO and the supergroup SuperM. Kai joined SM Entertainment after winning in the 10th SM Youth Best Contest in 2007. EXO officially debuted…","2,311"
Oh Se Hun,South Korean,"Se Hun is a South Korean singer, actor, and a member of the boy band EXO. Se Hun was scouted by a casting agent on the streets when he was twelve and was finally cast into S.M. Entertainment in 2008 after going through four auditions in two years. On January 10, 2012, he was introduced as the fifth…","2,291"
Hwang Min Hyun,South Korean,"Hwang Min Hyun is a South Korean singer, actor, and former member of NU'EST (뉴이스트) and Wanna One (워너원). After two years of training, he debuted in South Korean group NU'EST on March 15, 2012 with the single titled “Face.” Prior to his debut, he was known for appearing in various music…","2,276"
Cheng Xiao,Chinese,"Cheng Xiao, born in Shenzhen, is a Chinese singer, actress, and member of the Chinese-Korean girl group, WJSN. She is signed under Yuehua and Starship Entertainment. Cheng studied Chinese dance for 10 years before becoming an idol and later attended the Shenzhen Arts School, where she was a runner-up…","2,266"
Zhang Yu Xi,Chinese,"Zhang Yu Xi (English name: Rayli), born in Dunhua, Jilin Province, is a Chinese model and actress. She graduated from Beijing Institute of Fashion Technology. She officially entered showbiz in October 2009 when she launched her modeling career after winning the 7th Ruili Cover Girl contest. She branched…","2,257"
Fluke Natouch Siripongthon,Thai,"Natouch Siripongthon, nicknamed Fluke, is a Thai actor born in Lamphun. He graduated from the Faculty of Arts, Department of English at Dhurakij Pundit University. Fluke is currently studying for a Master's degree at Chulalongkorn University. He was originally known as Pongsatorn Sripinta, but in 2019…","2,254"
Kamenashi Kazuya,Japanese,"Kamenashi Kazuya, often referred to as Kame, is a Japanese actor and idol from Edogawa, Tokyo. He joined the Japanese talent agency Johnny's at age 12. In 2002, he and five others formed the Johnny’s Juniors group KAT-TUN who are still active to this day. He has starred in dramas and movies consistently…","2,251"
Zheng Shuang,Chinese,"Zheng Shuang is a Chinese actress who rose to fame with her role as Chu Yu Xun in ""Meteor Shower"", becoming the youngest actress to be nominated for Best Actress at the China TV Golden Eagle Award. Shuang was also chosen by Southern Metropolis Daily as one of the ""Four Dan actresses of the post-90s…","2,240"
Tay Tawan Vihokratana,Thai,"""Tay"" Tawan Vihokratana is a Thai actor and compère under GMMTV (จีเอ็มเอ็มทีวี). He was born in Bangkok and raised in Chiang Mai. Initially, he took up a bachelor's degree in chemistry from the Faculty of Science at the Chulalongkorn University (CU) before he shifted and…","2,227"
Z. Tao,Chinese,"Huang Zi Tao, known by the stage name Z. Tao, is a Chinese singer-songwriter who made his debut as a member of EXO-M, the Chinese sub-unit of EXO. Tao auditioned for S.M. Entertainment's global casting system in Qingdao, becoming an S.M. trainee in late 2010. He was one of the last Exo members to join…","2,202"
Darren Chen,Taiwanese,"Darren Chen alias Guan Hong, is a Taiwanese actor and singer. While out on the streets one day in 2016, he was spotted by producer Chai Zhi Ping. He officially entered showbiz with his debut in the youth fantasy drama ""Proud of Love"". In 2017, Guan together with Wang Hedi, Liang Jingkang and Wu Xize,…","2,193"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Choi Soo Young,South Korean,"Choi Soo Young is a South Korean idol singer, actress, dancer, spokesmodel, TV presenter, and RJ, currently under Saram Entertainment. She is a member of the girl group Girls' Generation. She was a part of the short-lived Korean-Japanese singing duo, Route θ, during 2002 in Japan. After returning to…","2,186"
Han Ji Min,South Korean,"Han Ji Min is a South Korean actor and model under BH Entertainment (BH엔터테인먼트). In 1999, while she was still in high school, she was a model who appeared in commercials and music videos before gaining wider attention in 2003 and appearing in the hit Korean television dramas ""All In"" and…","2,180"
Zheng Ye Cheng,Chinese,"Zheng Ye Cheng is a Chinese actor. His childhood was spent training martial arts and dance. He later graduated from the National Academy of Chinese Theatre Arts majoring in Chinese opera at the age of 21. He made his acting debut in 2012, co-starring in the film “The Cosplayers”. In 2016 he had…","2,174"
Cha Hak Yeon,South Korean,"Cha Hak Yeon, born in Changwon of Gyeongsangnam-do, is a South Korean singer-actor, presenter, and former radio host. He graduated from Howon University with a bachelor's degree in musical studies. In May 2012, he debuted under stage name N with the originally 6-member boy group ""VIXX"" with their single…","2,173"
Kang Min Hyuk,South Korean,"Kang Min Hyuk is a South Korean actor as well as a singer and drummer for the rock band CN Blue. He enlisted for his mandatory military service on July 31, 2018, and received an early discharge from the military on March 19, 2020 due to Coronavirus prevention protocols. Min Hyuk made his acting debut…","2,168"
Bae In Hyuk,South Korean,"Bae In Hyuk is a South Korean actor under YY Entertainment (YY엔터테인먼트). He made his acting debut in 2019 with the short web movie ""Love Buzz"" (러브버즈). 

(Source: MyDramaList)","2,162"
Choi  Tae Joon,South Korean,Choi Tae Joon is a South Korean actor. He started his career as a child actor in the 2001 television drama “Piano”. Choi became the host of the variety show “Hello Counselor” and joined the cast of “We Got Married” with Yoon Bomi of Apink in 2016. He won a Best New Actor award for his role…,"2,158"
Zhao Yi Qin,Chinese,"Zhao Yi Qin is a Chinese actor born in Jining, Shandong province. He graduated from the 15th performance class of the Nanjing Institute of Media and Communication. He made his debut appearance in 2016 in the TV drama ""Memory Lost"". In 2018, he acted in the idol drama ""Accidentally in Love"", increasing…","2,147"
Max Nattapol Diloknawarit,Thai,"Nattapol Diloknawarit, nicknamed Max, is a Thai actor born in Bangkok, Thailand. He graduated from Chulalongkorn University in the Faculty of Communication. He was selected to be one of the school's Generation 5 mace-bearers for the 70th Chula–Thammasat Traditional Football Match in 2015. Max hosted…","2,143"
Cha Seung Won,South Korean,"Cha Seung Won is a South Korean actor and model. He received an engineering degree from Mokwon University before embarking on a successful career as a model in 1988. Although his 1997 debut film ""Holiday in Seoul"" and many of his subsequent roles did not establish him as a major star, he attracted attention…","2,135"
Furukawa Yuki,Japanese,"Furukawa Yuki is a Japanese actor who grew up abroad. At the age of seven, he and his family moved from Japan to Canada. Then they relocated to the United States when Furukawa was sixteen. He completed high school there before returning to Japan to study Engineering at Keio University. Furukawa gained…","2,116"
Park Ji Min,South Korean,"Park Ji Min, known as Jimin, is a South Korean singer-songwriter and dancer. He is a member as well as the lead vocalist and main dancer of BTS. He enlisted in the military on December 12, 2023. Jimin made his debut on June 13, 2013, as a member of BTS on Mnet's M! Countdown with the track ""No More…","2,115"
Chae Jong Hyeop,South Korean,"Chae Jong Hyeop is a South Korean model turned actor managed by YNK Entertainment. Chae made his debut in MBC every1 2016 series ""Webtoon Hero - Tundra Show Season 2"". Before entering the industry, he studied in South Africa and Thailand. He was diagnosed with epilepsy and hence excluded from mandatory…","2,114"
Gulf Kanawut Traipipattanapong,Thai,"Kanawut Traipipattanapong is an actor and model. He went to an all-boys high school in Bangkok called Suankularb Wittyalai. He later attended the King Mongkut's University of Technology Thonburi, majoring in Industrial Education and Technology. Kanawut's acting career began in 2015, when he played Young…","2,098"
Jasper Liu,Taiwanese,"Jasper Liu Yi Hao is a Taiwanese actor, model, and musician. From 2009 to 2016, Liu was a member of the electronic post-rock band 輕晨電Morning Call, playing guitar and backup vocals. He released his debut extended play U on September 4, 2020 Liu started as a model before crossing over to acting…","2,090"
Ishihara Satomi,Japanese,Ishihara Satomi is a Japanese actress managed by HoriPro talent agency. She began her career at the age of 17 in 2003 by starring in different supporting roles both for TV and films and later appeared for advertisements. Her role in ‘Shitsuren Chocolatier’ was so popular that she was the most searched…,"2,082"
Apo Nattawin Wattanagitiphat,Thai,"Nattawin Wattanagitiphat, nicknamed Apo, is a model and actor affiliated with Channel 3 from 2014 to 2019. He went to Thammasat University before transferring to the Faculty of Communication Arts at Rangsit University. In 2014, Nattawin signed a contract as an actor with Channel 3 and made his debut…","2,079"
Suho,South Korean,"Kim Jun Myeon, better known by his stage name Suho, is a South Korean singer and actor. He is is a member of the k-pop boy group EXO and its sub-unit EXO-K. Suho joined SM Entertainment's Casting System in 2006 after he was discovered on the streets by an SM casting manager. Suho made his debut with…","2,071"
Gao Wei Guang,Chinese,"Gao Wei Guang (English name: Vengo), born in Jixi, Heilongjiang Province, Mishan, is a Chinese actor. Gao debuted as a model after winning 3rd place in New Silk Road Model Look competition in 2008. He made his acting debut in the 2014 web series, V Love. In 2017, Gao starred in the fantasy romance drama…","2,058"
Fukushi Sota,Japanese,"Fukushi Sota is a Japanese Actor born in Tokyo, Japan. He is under the agent Ken-On. He rose to prominence portraying Gentaro Kisaragi in the Kamen Rider franchise and has since starred in television series Koinaka (2016) and My Lover's Secret (2017), as well as films Strobe Edge (2015), My Tomorrow,…","2,056"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Kim  Mi Kyung,South Korean,"Kim Mi Kyung is a South Korean actress under Popeye Entertainment. She made her theater debut in 1985. Kim has been a member of the Yeonwoo Mudae theater company since 1985. She is most active as a supporting actress in television dramas. A year later, she made her film debut and her television drama…","2,053"
Lee Tae Hwan,South Korean,"Lee Tae Hwan is a South Korean actor, singer, and member of the five members of 5urprise, an acting group consisting of five actors who began their careers as actors and then branched into singing. He graduated from the Department of Acting For Theatre, Film, and TV at Sungkyunkwan University. In 2013…","2,046"
Jin,South Korean,"Kim Seok Jin, also known professionally as Jin, is a South Korean singer, songwriter, and member of the South Korean boy band BTS since June 2013. Kim has co-written and released three solo tracks with BTS: ""Awake"" (2016), ""Epiphany"" (2018), and ""Moon"" (2020), all of which have charted on South Korea's…","2,035"
Mix Sahaphap Wongratch,Thai,"""Mix"" Sahaphap Wongratch is an actor born and raised in Lampang, Thailand. He is a graduate of Chulalongkorn University's Faculty of Veterinary Science. Sahaphap entered the entertainment industry when he participated in the parade of the Chula-Thammasat Traditional Football Match, summoning the university…","2,035"
Kim So Eun,South Korean,"Kim So Eun is a South Korean actress represented by Will Entertainment. She made her debut in the 2005 film ""Two Guys""; and landed her first leading role on the big screen with ""The Girl's Ghost Story"". She has also appeared in music videos for SHINee and 8eight, and she has been featured in magazines…","2,027"
Suga,South Korean,"Min Yoon Gi, better known as Suga or Agust D, is a South Korean rapper, songwriter and record producer. Suga was born in Buk District, Daegu, South Korea. His family consists of a mother, a father and an older brother. Before his debut with BTS, he was an underground rapper going by the stage name ""Gloss"".…","2,027"
Hong Jong Hyun,South Korean,"Hong Jong Hyun is a South Korean actor and model under C-JeS Entertainment. He is best known for his roles in the television series Vampire Idol, Jeon Woo Chi, and Dating Agency: Cyrano. Jong Hyun won the 2011 Korea Best Dresser Swan Awards: Best Dressed, Model category. He was a member in We Got Married…","2,025"
Lee Bo Young,South Korean,"Lee Bo Young is a South Korean actress under J-Wide Company. She is best known for starring in the television dramas ""My Daughter Seo Young"", and ""I Can Hear Your Voice"". Lee won the Miss Korea beauty pageant in Daejeon and the surrounding South Chungcheong Province in 2000. She originally dreamed of…","2,019"
Tan Jian Ci,Chinese,"Tan Jian Ci, born in Beihai, Guangxi, is a Chinese singer, dancer, actor. Jian Ci started his dancing career at the age of thirteen and joined the affiliated secondary school of Beijing Dance Academy, where he learned ballroom dance. In 2006, he participated in three tournaments - Taoli Cup National…","2,019"
Jeon Yeo Been,South Korean,"Jeon Yeo Been, born in Gangneung, is a South Korean actress managed by management mmm. She debuted in the 2015 period movie “The Treacherous”. She went on to win widespread critical acclaim for her role in the 2018 film “After My Death”. For her performance in ""After My Death"", she won the Grand…","1,991"
Kim Jae Young,South Korean,"Kim Jae Young is a South Korean actor and model. He began his career as a model and then branched into acting in the 2011 television drama “Oh! Boy.” He has since appeared in “Iron Man” (2014), “I Remember You” (2016) and “Master: God of Noodles” (2016).","1,990"
Tul Pakorn Thanasrivanitchai,Thai,"""Tul"" Pakorn Thanasrivanitchai is an actor, model, and architect born in Bangkok, Thailand. He is the son of Somkiat Thanasriwanichai, the heir of the Group Thaiwat Engineering Co., Ltd. (an engineering service provider), and assistant professor Jane Chirathirawat, a second-generation heir to both Muang…","1,988"
Xu Kai Cheng,Chinese,"Xu Kai Cheng, born in Shanghai, is a Chinese actor and model. He began learning to dance in his childhood and has 11 years of dance experience. In 2007, he was admitted to the 2007 undergraduate ballet class of Shanghai Theatre Academy. In 2010, while still in college, he made his debut on the TV screen…","1,984"
Komatsu Nana,Japanese,"Tokyo native Komatsu Nana began her career starring in a short film, called Tadaima, before immediately graduating to movies like Close Range Love and The World Of Kanako. Prior to these, however, she was a popular account holder on Instagram and a model. As such, it is no surprise that photography…","1,972"
T.O.P,South Korean,"Choi Seung Hyun, better known by his stage name T.O.P, is a South Korean recording artist and actor. Best known as a member of the Korean boy band Big Bang, the rapper has also branched out to act in various dramas and films, including I Am Sam, Iris, 71: Into the Fire, and Commitment. He began his…","1,969"
Kim Jae Joong,South Korean,"Kim Jae Joong is a South Korean singer, songwriter, actor, and director. He is best known as a member of the Korean pop group JYJ and was one of the original members of the boy band TVXQ. Kim also went by the stage names Hero Jae Joong and Je Jung. He debuted as a member of TVXQ under SM Entertainment…","1,968"
Wan Peng,Chinese,"Wan Peng is an actor under Easy Entertainment. She graduated from the Beijing Dance Academy, majoring in Classical Dance. In 2018, Wan made her debut in the coming-of-age youth drama ""When We Were Young"", for which she received positive reviews and became known for her role. She received the Best Newcomer…","1,954"
Nana,South Korean,"Nana is a South Korean model, actress, and former member of the K-Pop group, After School under PLEDIS Entertainment. She is also a former member of A.S Red and Orange Caramel (After School's sub-units), and the super idol group, Dazzling Red. Before her debut in After School, in 2009, she was a participant…","1,950"
Shin Ye Eun,South Korean,"Shin Ye Eun, born in Sokcho, South Korea, is an actor under JYP Entertainment (JYP 엔터테인먼트). She made her acting debut in the web series ""A-Teen"" (에이틴). 

(Source: MyDramaList)","1,935"
Joy,South Korean,"Park Soo Young, known by the stage name Joy, is a South Korean singer, actress, and a member of the K-pop group Red Velvet. She auditioned and was cast by S.M. Entertainment at the S.M. Global Audition in Seoul in 2012. She graduated from the School of Performing Arts Seoul in February 2015. In 2015,…","1,934"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
RM,South Korean,"Kim Nam Joon, better known as RM (previously known as Rap Monster but changed his stage name in 2017), is a South Korean rapper, songwriter, and record producer born in Ilsan, South Korea. He is the main rapper, songwriter, and leader of the South Korean boy band BTS, which is managed by Big Hit Entertainment.…","1,923"
Lee Sun Kyun,South Korean,"Lee Sun Kyun was a South Korean actor under HODU&U Entertainment. In 2001, he debuted in the musical The Rocky Horror Show. Relegated to supporting roles for many years, he finally achieved his breakthrough in 2007 with the romantic drama ""Coffee Prince"" and the critically acclaimed medical drama ""White…","1,921"
Joseph Zeng,Chinese,"Zeng Shun Xi is a Chinese singer and actor born in Shenzhen, Guangdong Province. He is a former member of the Chinese boy band Fresh Geeks Youth. In July 2015, he was invited to attend the International Fashion Week in London, Milan and Paris. On March 14, 2016, his single ""Morning Call"" was released.…","1,917"
Lee Joo Young,South Korean,"Lee Joo Young is a South Korean actress managed by Ace Factory. She made her debut in the 2011 film “Behinds”. She studied at Kyung Hee University, where she majored in Theater and Film.

(Source: Korean = NamuWiki || Translation = MyDramaList)","1,916"
Zhang Ruo Yun,Chinese,"Zhang Ruo Yun is a Chinese actor who made his debut in the 2004 television drama ""The Sea's Promise"". He graduated from The Beijing Film Academy in 2007. He won the Outstanding Actor Award for his role in the 2014 drama ""New Snow Leopard"" and the Most Popular Actor Award for his role in the 2016 drama…","1,912"
Zhu Yi Long,Chinese,"Zhu Yi Long is a Chinese actor born in Wuhan, Hubei province. He graduated from Beijing Film Academy with a bachelor's degree in performance in 2010. Zhu Yi Long made his acting debut in 2009 in the movie “Regeneration Edge” and he first gained mainstream recognition for his performance in the period…","1,906"
Liang Jie,Chinese,"Liang Jie is a Chinese actress and model, who made her acting debut in the 2016 series ""Go! Goal! Fighting!"". She graduated from the Central Academy of Drama.

Representative works include ""The Eternal Love"", ""The Day I Became You"", ""Side Story of Fox Volant"", ""I May Have Met a Savior"".","1,906"
Kris Wu,Canadian,"Kris Wu is a Chinese-Canadian actor, singer, and model. He was a member of the South Korean-Chinese boy band EXO and its subgroup EXO-M under SM Entertainment (SM엔터테인먼트), before leaving the group in 2014. Wu was born as Li Jia Heng in Guangzhou, Guangdong, China and later legally changed…","1,898"
Bible Wichapas Sumettikul,Thai,"Wichapas Sumettikul, nicknamed Bible, is an actor under Be On Cloud. He graduated from Thammasat University with a bachelor's degree in Mechanical Engineering. He's bilingual and speaks both Thai and English and worked as a translator for 'KinnPorsche Story'. 

(Source: MyDramaList)","1,893"
Bae Doo Na,South Korean,"Actress Bae Doo Na started her professional career as a fashion model in 1998. Her mother is Actress Kim Hwa Young. She moved to a high-profile role in the acclaimed South Korean TV series, School. Doo Na's first leading role in a motion picture was in the black comedy, Barkings Dog Never Cry, in which…","1,887"
Liu Yu Ning,Chinese,"Liu Yu Ning was born in Dandong, Liaoning. He is a Chinese pop singer, actor, and lead singer of Modern Brothers. He started out his career with street performances, mainly live streams with the group, which was formed among his best friends after graduating from a vocational high school. He made his…","1,881"
Kim Tae Hee,South Korean,"Kim Tae Hee is a South Korean actress and model under BS Company (Korea). She began her career as a model and in television commercials, and she made her film debut in ""Last Present"". Kim is best known for her roles in Korean dramas such as ""Iris"", ""Love Story in Harvard"", ""My Princess"", and ""Stairway…","1,876"
Zhou Yi Ran,Chinese,"Zhou Yi Ran, born in Chongqing, is a Chinese singer and actor. He made his debut in 2017 as a member of Yi'an Music Club, a cross-dimensional music group. However, in 2018, he announced that he would be leaving the group. He began his acting career in 2018 with a support role in the movie, ""Go Brother!""…","1,874"
Gong Seung Yeon,South Korean,"Gong Seung Yeon, whose birth name is Yoo Seung Yeon, is a South Korean actress. She is the older sister of singer Yoo Jeong Yeon from TWICE. She first trained as a singer under SM Entertainment after winning the ""Best Looks"" portion of the SM Teen Best Contest in 2005. She later quit when she lost interest…","1,871"
Gong Myung,South Korean,"Gong Myung, birth name Kim Dong Hyun, is a former member of 5urprise, a five-member actor group that branched out into music, CFs, and variety shows. The group disbanded on March 31, 2020, upon the expiration of their contracts. Gong Myung is currently signed as an actor with Saram Entertainment as…","1,865"
Earth Katsamonnat Namwirote,Thai,"Katsamonnat Namwirote, nicknamed, Earth is a Thai actor under Studio Wabi Sabi. He made his acting debut as Pie in the 2017 short movie ""Let Me Kiss You"". In 2018, he had his break in the entertainment industry for his portrayal of Tar in the popular BL drama series Love By Chance and its 2020 sequel…","1,864"
Huang Jun Jie,Chinese,"Huang Jun Jie was born in Chongqing, China on July 9, 1998, and is a student of the Beijing Film Academy. In 2016, he officially entered the show business as the male lead in the youth basketball film "" 24 Seconds of Youth"". The same year, he starred in the fantasy drama ""Fox in the Screen"". Huang became…","1,855"
Kim Hee Sun,South Korean,"Kim Hee Sun is a popular South Korean actress. She made her debut as the MC of the popular music variety show “SBS Inki Gayo” in 1993 while she was still attending high school. She went on to a successful acting career, starring in many popular films and television dramas, including “The Great…","1,852"
Lee Byung Hun,South Korean,"Lee Byung Hun is a South Korean actor, singer, and model. He has received critical acclaim for his work in a wide range of genres. His critically acclaimed film ""Inside Men"" won him the Best Actor prize in three prestigious award ceremonies: the 52nd Baeksang Art Awards, the 37th Blue Dragon Awards,…","1,838"
Seo Ji Hoon,South Korean,Seo Ji Hoon is a South Korean actor under Management Koo. He debuted in the hit drama “Signal” as the villainous Jang Tae Jin. He later landed his first lead roles in “Matching Boys Archery” as the puppy-like Yoo Ji Wan.,"1,832"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Lee Sang Yeob,South Korean,"Lee Sang Yeob is a South Korean actor under the management of UNGBIN Entertainment. He is the only grandson of the former Dongguk Jaekang Chairman, Kim Jong Jin. Sang Yeob made his acting debut in the 2007 drama ""A Happy Woman"" and later had his first leading role in ""Give Love Away"" in 2013. The same…","1,828"
Gu Hye Seon,South Korean,"Gu Hye Seon is a South Korean actress, singer, songwriter, and director. Hye Seon entered the entertainment industry after gaining popularity on the internet as an ulzzang (meaning ""best face"" or ""good-looking""). She began her acting career in one-act dramas and the sitcom ""Nonstop 5"" and was also a…","1,821"
Boss Chaikamon Sermsongwittaya,Thai,"""Boss"" Chaikamon Sermsongwittaya is an actor under Me Mind Y. He's currently studying CommArts at Bangkok University. 

(Source: MyDramaList)","1,819"
Darren Wang,Taiwanese,"Wang Da Lu (English name: Darren) is a Taiwanese actor and model. He later garnered more attention in 2019 when he starred in the Taiwanese movie ""Fall in Love at First Kiss"" as the male lead. On Dec 9th 2022, Darren Wang officially announced his romantic relationship with his girlfriend, actress Joey…","1,817"
Tiffany Tang,Chinese,"Tang Yan (English name: Tiffany) is a Chinese actress and singer. She graduated from the Central Academy of Drama in 2006. In 2007, she was nominated for the Best Actress award at the Shanghai Television Festival for her film debut in Farewell for Love. She left her company Orange Sky Entertainment…","1,814"
Kim Ji Hoon,South Korean,Kim Ji Hoon is a South Korean actor who began his career in 2001 as a VJ on the television variety show 'Hotline'. He made his acting debut in the 2002 television drama 'Loving You',"1,813"
Lee Jin Wook,South Korean,Lee Jin Wook is a South Korean actor represented by BH Entertainment. He is best known for his leading role in the time-traveling series Nine: Nine Time Travels. And for his lead role in the crime thriller series Voice - Seasons 2 and 3. After dropping out of his Environmental Engineering course at…,"1,811"
Victoria Song,Chinese,"Victoria Song is a Chinese singer, dancer, actress, author, host, and member of the four-member South Korean girl group ""f(x)"". She left her hometown at a young age to study Chinese traditional dance at the Beijing Dance Academy. After her high school graduation, she was accepted to the Beijing Dance…","1,807"
Mark Prin Suparat,Thai,"""Mark"" Prin Suparat is an actor born in Chiang Mai and raised in Lampang. He placed first in a Judo competition when he was in grade twelve and received an athletic scholarship at Rangsit University. After he was scouted by a manager working for Channel 3, Mark debuted in the entertainment field and…","1,805"
Li Qin,Chinese,"Li Qin, also known as Sweet Li, is a Chinese actress and singer. Li was born on September 27, 1990 in Bacheng Town of Kunshan city, Jiangsu province. Li started studying Chinese traditional opera in Shipai Central School at the age of 11 and trained in Wuxi, Shaoxing, and Kunqu operas. Li Qin graduated…","1,800"
Kang So Ra,South Korean,"Kang So Ra is a South Korean actress. She made her acting debut in the 2009 horror movie ""4th Period Mystery"", but Kang rose to fame when she starred in the movie ""Sunny"" (2011). Her contract with Will Entertainment ended in October 2016. She later signed with Plum A & C. Kang So Ra married her non-celebrity…","1,799"
Cho Byeong Kyu,South Korean,"Jo Byung Kyoo is a South Korean actor born in Seoul. He attended Anyang Arts High School and Seoul National University of the Arts as an acting major until he dropped out. He is currently signed to HB Entertainment. He initially dreamed of becoming a soccer player, going so far as to move to New Zealand…","1,797"
Lee Yi Kyung,South Korean,"Lee Yi Kyung is a South Korean actor under HB Entertainment. He graduated from the Seoul Institute of the Arts. He made his acting debut in 2011 and first gained recognition by playing a rebellious student in the teen drama ""School 2013"". Thereafter, he played minor and supporting roles in television…","1,796"
Zhou Ye,Chinese,"Zhou Ye is a Chinese actress. She graduated from the 2016 undergraduate class of the Beijing Film Academy's Performance Department. She is currently under Hesong Media.

In 2019, Zhou Ye made her acting debut in the youth drama film ‘Better Day'.","1,791"
Kim Rae Won,South Korean,"Kim Rae Won is a South Korean actor. He initially wanted to become a professional basketball player, but when an injured ankle tendon ended that childhood dream, he turned to acting and studied Theater and Film at Chung-Ang University. He made his acting debut in the 1997 drama ""Me"". In 2003, he became…","1,785"
Machida Keita,Japanese,"Machida Keita is a Japanese actor. He is a member of stage troupe EXILE and is represented by LDH. Machida joined Gekidan EXILE on January 25, 2011, after successfully passing the Dai 3kai Gekidan EXILE Audition. Although in July 2011, he was announced as a candidate member of Generations from Exile…","1,758"
J-Hope,South Korean,"Jung Ho Seok, better known by his stage name J-Hope, is a South Korean rapper, songwriter, dancer, and record producer. J-Hope made his debut on June 13, 2013, as a member of BTS on Mnet's M! Countdown with the track ""No More Dream"" from their debut single album 2 Cool 4 Skool. Together with the members…","1,755"
Prem Warut Chawalitrujiwong,Thai,"Prem Warut Chawalitrujiwong is an actor under GMMTV (จีเอ็มเอ็มทีวี). After graduating from Benchama Maharat School, he went on to study at Kasetsart Univerisity's Faculty of Economics Prem initially intended to become a professional golfer and was a regional gold champion…","1,754"
Yokohama Ryusei,Japanese,"Yokohama Ryusei is a Japanese actor and model who is affiliated with Stardust Promotion. He is best known for playing the role of Hikari Nonomura in the 2014 Super Sentai TV series “Ressha Sentai ToQger”. He was born in Yokohama, Kanagawa Prefecture. Yokohama's first appearance was a commercial…","1,753"
Riley Wang,Canadian,"Riley Wang is a Taiwanese-Canadian singer, actor and DJ. Born in Taiwan, his family emigrated to Canada when he was ten years old and it was there that he spent most of his teen years. In 2012, Riley ranked second in a Vancouver-based modelling contest. In 2014—when it expanded from four members to…","1,751"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Song Jae Rim,South Korean,"Song Jae Rim is a Korean actor and model under Saram Entertainment. He began his career as a runway model for the Seoul collections of Juun. J, Herin Homme and Ha Sang Beg, and has also appeared in the magazines Bazaar Korea, Vogue Girl Korea, Dazed & Confused Korea, Nylon Korea, GQ Korea, Arena Homme…","1,737"
