Actor Names,Country,Actor Details,Likes
Saitoh Takumi,Japanese,"Saitoh Takumi is a Japanese model, actor, photographer, director, screenwriter, and producer born in Tokyo, Japan. He has also previously performed as a singer. He displayed some of his talents in music in 2006 when he acted and sang in ""Musical: The Prince of Tennis"". Then, in 2007, he released his…",668
Wu Xuan Yi,Chinese,"Wu Xuan Yi, born in Haikou, Hainan, is a Chinese singer and actress. She first debuted as a member of the South Korean girl group WJSN in 2016 under Starship Entertainment. She is also a former member of Rocket Girls 101 (火箭少女101), which debuted in June 2018 and disbanded in July 2020, a group…",668
Narimiya Hiroki,Japanese,"Narimiya Hiroshige, better known as Narimiya Hiroki, is a former Japanese actor. He was born and raised in Tokyo. His parents divorced when he was young, and in his third year of junior high school, his mother died, and he raised his brother by dropping out of school, taking on part-time jobs, and paid…",667
Yoon Phusanu Wongsavanischakorn,Thai,"Phusanu Wongsasavanichakorn, nicknamed Yoon, is a Thai actor. He attended the Rajamangala University of Technology and graduated from the faculty of Business Administration. Yoon is best known for playing the lead role in the sitcom 'YYY' (2020) alongside Talay Sanguandikun (Lay) which aired on Line…",667
Song Kang Ho,South Korean,"Song Kang Ho first worked in plays entering a troupe and started working in film as supporting actor and minor roles that most people even couldn't notice. He caught his breakthrough chance in 'Green Fish' as a supporting role with major impact. In 'No. 3', he actually created a syndrome from his role,…",666
Lim Ji Sub,South Korean,"Lim Ji Sub, born in Seoul, is a South Korean actor under Fantagio. He made his acting debut in the 2019 web drama ""Do With All Your Heart Today."" 

(Source: MyDramaList)",666
Tsao Yu Ning,Taiwanese,"Tsao Yu Ning, born in Taipei City, is a Taiwanese actor and baseball player. He graduated from the Department of Physical Education of Furen University. Prior to his debut as an actor, Tsao was a professional baseball player and played for Chinese Taipei at international tournaments. In 2010, 16-year-old…",665
Victor Chatchawit Techarukpong,Thai,"""Victor"" Chatchawit Techarukpong is an actor, emcee and singer born in Prachuap Khiri Khan, Thailand to a Taiwanese father and a Chinese mother. He studied at the University of the Thai Chamber of Commerce. Victor was signed with GMMTV (จีเอ็มเอ็มทีวี) from 2014 to 2023.…",664
U-Know,South Korean,"Jung Yun Ho, also known by his stage name U-Know Yun Ho or simply U-Know, is a South Korean singer-songwriter, actor, and member of the pop duo TVXQ. Born and raised in Gwangju, South Korea, U-Know started his musical training under the talent agency S.M. Entertainment in 2001 and joined TVXQ in 2003.…",664
Iwata Takanori,Japanese,"Iwata Takanori (also known as Gun-chan がんちゃん) is a Japanese actor, dancer, and model. He was born in Nagoya, Japan and started his career in 2010. As a teenager Iwata was shocked by the movie ""RIZE"" he watched in high school, and spent three years teaching himself the KRUMP dance. Later on…",664
Han Seung Yeon,South Korean,"Han Seung Yeon is a South Korean singer and actress. She left South Korea to study at Tenafly High School in New Jersey, United States. However, she withdrew from high school mid-course to pursue a singing career. After returning to South Korea, made her debut in 2007 as a member of the four-piece,…",663
Song Yi,Chinese,"Song Yi is a Chinese actress born in Jingmen City, Hubei Province. In 2006, she was admitted to the performance department of the Central Academy of Drama with excellent results, and after graduation, she entered the Beijing People's Art Theater. She made her television debut in 2009 through the series…",663
Chen Jing Ke,Chinese,"Chen Jing Ke is a Chinese actor and model under Black Gold Entertainment, born in Shenzhen, Guangdong, China. He loved fantasy ever since he was a child. In his third grade of elementary school, he fantasized about being a hero. In 2015 at aged 18, Jing Ke went to Hollywood USA to attend a three-year…",663
Shin Hyun Been,South Korean,"Shin Hyun Been is a Korean actress. She made her big break in the 2010 movie ""She's On Duty"", in which she also won the award for Best New Actress at the 47th Baeksang Arts Awards.

(Source: Korean = NamuWiki, Naver || Translation = MyDramaList)",662
Lee Seung Hyub,South Korean,"Lee Seung Hyub, also known as J.Don, is a South Korean rapper, singer, instrumentalist, songwriter, and actor managed by FNC ENTERTAINMENT. He officially debuted on May 2, 2015, with the band N.Flying. In 2016, he debuted as an actor in the series ""Entertainer"". On February 22th, 2021, he made his solo…",662
Yoo  Joon Sang,South Korean,"Yoo Jun Sang is a South Korean actor. Yoo is best known for starring in the films Ha Ha Ha, The Day He Arrives, and In Another Country. He was also praised for his supporting roles in Wide Awake and Moss, and he gained newfound popularity in 2012 because of the TV drama My Husband Got a Family. Aside…",660
Sea Tawinan Anukoolprasert,Thai,"Tawinan Anukoolprasert, nicknamed Sea, is a Thai actor managed by GMMTV since 2021. He studies Business Administration at Kasetsart University. 

(Source: MyDramaList)",660
Ha Yoon Kyung,South Korean,"Ha Yoon Kyung is a South Korean actress, who was born in Seoul, South Korea. She studied at and graduated from the Korea National University of Arts Theater Department Acting Arts History, where she majored in Drama and debuted in 2014, appearing in the movie “Socialphobia.” She followed up in 2016…",659
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Song Yoon Ah,South Korean,"Song Yoon Ah is a Korean model, singer, and actress. She spent most of her childhood days in Gimcheon, Gyeongsangbuk-do. She graduated with a Humanities Degree at Hanyang University. Song, as an aspiring actress, made her debut in the 1995 KBS drama Age of Individuality. She later became a well-known…",657
Ninomiya Kazunari,Japanese,"Ninomiya Kazunari, often called Nino, is a singer-songwriter, actor, presenter, and radio host. He is a member of the boy band Arashi and portrayed Private Saigo in the 2006 Clint Eastwood war film Letters from Iwo Jima. Ninomiya began his career in the entertainment industry when he joined the Japanese…",656
Nam Gyu Ri,South Korean,"Nam Gyu Ri, born Nam Mi Jeong, is a South Korean singer and actress. She was the leader of the Korean female trio, SeeYa. In 2009, Nam Gyu Ri had a contract dispute with the group's management company and left the group. Nam has also acted, most notably in the film Death Bell and the drama 49 Days.…",655
Ian Yi,Taiwanese,"Yi Bai Chen (English name; Ian; also known as Yi En) is a Taiwanese actor and singer born in Shilin District, Taipei. In 2014, he appeared in his first idol school drama ""Spicy Teacher GTO Taiwan Chapter"" and formally entered showbiz. In 2015, he joined the Taiwanese boy band ""SpeXial"".",655
Xin Yun Lai,Chinese,"Xin Yun Lai is a Chinese actor who was born in Wuxi, Jiangsu Province, China. He debuted in 2016 when he joined the boy band ""Attack! Bigboy"".",654
Joss Way-ar Sangngern,Thai,"Way-ar Sangngern, nicknamed ""Joss"", is an actor and model under GMMTV born in Thung Song District, Nakhon Si Thammarat Province, Thailand. At age 12, he attended Sarasas Witaed Saimai School and attended Traill International School at age 15. He graduated with a bachelor's degree from the Faculty of…",653
Kim  Sang Ho,South Korean,"Kim Sang Ho is a South Korean actor who began his acting career in theater in 1996 before branching into films and television dramas. Kim won Best Supporting Actor at the 2007 Blue Dragon Film Awards for his performance in The Happy Life. He is under Huayi Brothers Entertainment.
(Source: Viki)",652
Yoon Seo Bin,South Korean,"Yoon Seo Bin is a South Korean singer and actor under Peace Angels Company. He was a Korean pop trainee for one year and seven months under JYP Entertainment prior to his appearance as a contestant on the boy group survival reality show Produce X 101. After the airing of the first episode of the show,…",652
Inukai Atsuhiro,Japanese,"Inukai Atsuhiro is a Japanese actor born in Tokushima, Japan. He is managed by Burning Production.

In 2012, he won the Grand Prix at the 25th ""Junon Super Boy Contest.""

He debuted as an actor in June 2014, with the daytime drama ""Ao no Umi ~ LONG SUMMER ~.""

(Source: MyDramaList)",649
Zhang Tian Ai,Chinese,"Zhang Tian Ai, also known by her English name Crystal Zhang, is a Chinese actress and model. She is best known for her breakout role in the 2015 hit web drama Go Princess Go. After she studied overseas in Japan, Zhang came back to China and trained under Beijing Film Academy. In 2009, she starred in…",648
Book Kasidet Plookphol,Thai,"Kasidet Plookphol, nicknamed Book, is an actor and former member of the boy group Cute Chef. He's been an artist under GMMTV since 2021. In 2019, he graduated with a bachelor's degree from KMUTT's Faculty of Engineering. 

(Source: MyDramaList)",648
Ahn Nae Sang,South Korean,"Ahn Nae Sang is a South Korean actor who began his career in theater. He made his big screen debut in the 1994 short film ""White Man"".

His niece is actress Yang Hye Ji.",647
Lee Sang Woo,South Korean,"Lee Sang Woo is a South Korean actor. He launched his acting career in 2005, starring in a ""Drama City"" episode and a minor role in the television drama ""18 vs. 29."" This was followed by more supporting roles on television, including his big screen debut in ""Almost Love."" During this time, he also starred…",645
Julia Xiang,Chinese,"Xiang Han Zhi (English name: Julia) is an American Chinese born in the US. Since young, she has been fond of playing tennis and acting. By chance, she met director Xu Jing Lei who after seeing her decided immediately to sign her up. Xiang officially entered showbiz in 2018 and made her debut in the…",644
Lee Ho Won,South Korean,"Lee Ho Dong, later legally changed to Lee Ho Won and formerly known professionally as Hoya, is a South Korean singer, dancer, actor and former member of INFINITE (인피니트). He attended Towol High School but dropped out to pursue his dream of becoming a singer. Later, he passed the High School Graduation…",641
Kamishiraishi Mone,Japanese,"Kamishiraishi Mone is a Japanese actress and singer managed by Toho Entertainment. Her music label is Universal Music Japan. She spent three years of her childhood in Mexico. Due to that, she became fluent in English and is able to speak basic Spanish. She is the older sister of actress Kamishiraishi…",640
Zhu Zan Jin,Chinese,"Zhu Zanjin, born in Haikou City, Hainan Province, is a male actor in China. He graduated from Beijing Normal University with a major in dance. In February 2015, he entered the film and television circle due to his performance in the folklore fantasy drama ""Demon Girl"". In May 2016, he starred in the…",640
Gala Zhang,Chinese,"Zhang Yao is a Chinese actor, born in Shenyang, Liaoning, China. He studied finance at university. Despite having no prior acting experience, he debuted in the 2018 school-themed drama series ""When We Were Young"".",640
Lennon Sun,Chinese,"Sun Si Cheng (English name: Lennon) is a Chinese actor born in Beijing. He debuted in the 2021 ""Unforgettable Love"".",638
Kim Mu Yeol,South Korean,"Kim Mu Yeol is a South Korean actor. Following a successful career in musical theatre, Kim was first cast in minor parts on film and television. But after getting good reviews in his supporting roles in ""The Scam"" (2009) and ""War of the Arrows"" (2011), Kim landed his first major role in Jung Ji Woo's…",637
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Choi Ji Woo,South Korean,"Choi Ji Woo is a South Korean actor. She majored in aerobics at Pusan Woman's Professional College's Dance Department and enrolled in Hanyang University's Department of Theatre/Film Studies before withdrawing due to her hectic work schedule. In February 2024, Ji Woo parted ways with her talent agency…",636
Kim Jong Hyun,South Korean,"Kim Jong Hyun, better known as Jonghyun, was a South Korean singer-songwriter and radio host. He was a vocalist of the South Korean boy group SHINee and further participated in S.M. Entertainment's project group S.M. The Ballad. He and the rest of the SHINee members debuted in 2008. Jonghyun had been…",636
Ji  Il Joo,South Korean,"Ji Il Joo is a South Korean actor, director and screenwriter. He is known for his role in the drama series Weightlifting Fairy Kim Bok Joo (2016–2017). In 2018, Ji is making his debut as a director through the upcoming indie film Arrogance. Ji is also the scriptwriter and lead actor in his film. (Source:…",635
Ahn Woo Yeon,South Korean,"Ahn Byeong Ho (born 7 January 1991), better known by his stage name Ahn Woo Yeon, is a South Korean actor under JS Pictures. He made his acting debut through a supporting role in the 2015 web drama Alchemist. He starred in TV series such as Five Enough (2016), Don't Dare to Dream (2016) Strong Woman…",635
Wang Duo,Chinese,"Wang Duo is a Chinese actor and singer who graduated from Shenyang Conservatory of Music. In 2015, he participated in Guangdong satellite TV's ""China's Good Boys"" and won second place in the national finals, which attracted the attention of the media and the public. His most publicly recognized work…",635
New Siwaj Sawatmaneekul,Thai,"""New"" Siwaj Sawatmaneekul is a director and editor. He made a name for himself with successful works such as ""Make it Right"" and ""Love by Chance."" His cousin is actor ""Captain"" Chonlathorn Kongyingyong﻿. 

(Source: MyDramaList)",635
Katayose Ryota,Japanese,"Katayose Ryota is a Japanese musician, dancer, and actor. He is a member of the Japanese all-male dance and music group Generations from Exile Tribe. In 2010, he participated in the VOCAL BATTLE AUDITION 2 to become a member of Sandaime J Soul Brothers and ended up as one of the finalists (alongside…",633
Bang Min Ah,South Korean,"Bang Min Ah is a South Korean singer and actress. She has been a member of girl group Girl's Day since 2010 and debuted as a solo singer in 2015. She has acted in various films and television series, including ""Vampire Idol"" and ""Beautiful Gong Shim"". Minah made her acting debut on the tvN variety show,…",632
Nine Kornchid Boonsathitpakdee,Thai,"""Nine"" Kornchid Boonsathitpakdee, born in Bangkok, Thailand, is an actor and singer under Insight Entertainment (อินไซท์ เอ็นเตอร์เทนเมนต์). He speaks Thai, English, Chinese and Japanese. He studied at Assumption University's Faculty of Business Administration.…",631
Kim Woo Seok,South Korean,"Kim Woo Seok, also known previously by his stage name Wooshin, is a South Korean singer, songwriter, model, and entertainer. He is a member of the South Korean boy group, UP10TION under the company TOP Media and made his debut in 2015. He had been training for a year before joining the group. Kim graduated…",631
Zhang Yi Jie,Chinese,"Zhang Yi Jie, born in Shenzhen, is a Chinese actor managed by Yu Zheng Studio. He made his movie debut with roles in two films in 2010. He began to make a name for himself in the world of TV drama series when he appeared in the period title “China 1921” (2011). He made his variety show bow in 2014,…",630
Jung Eun Chae,South Korean,"Jung Eun Chae is a South Korean actress. She began her career as a model and then made her acting breakthrough in ""Nobody's Daughter Haewon"" (2013). In 2013, she released an EP of indie-folk songs she composed herself, the self-titled ""Jung Eun Chae"". Jung Eun Chae spent 8 years living in London, starting…",627
Lee Hak Joo,South Korean,"Lee Hak Joo is a South Korean actor managed by SM Entertainment (SM C&C). He made his acting debut in the 2012 short film “Sweet Sorrow.” After making a number of other short films, he made his small-screen breakthrough in the 2015 television drama “My Love Eun Dong.” He married his non-celebrity…",625
Zhang Wan Yi,Chinese,"Zhang Wan Yi is an award-winning actor born in Shiyan City, Hubei Province. He graduated from Beijing Film Academy in 2013 and made his industry debut in 2016 with a role in ""Let's Fashion Together"" (极品模王). As a promotion for his drama ""The Awakening Age,"" Wan Yi sang a version of ""Dislocation…",625
Song Geon Hee,South Korean,"Seon Geon Hee is a South Korean actor. He debuted in the drama series ""Flat"" in 2017. His breakthrough role was in the popular drama ""SKY Castle.""",624
Mook Worranit Thawornwong,Thai,"Worranit Thawornwong, nicknamed Mook, is an actor and singer born in Bangkok, Thailand. She graduated from the Faculty of Humanities at Kasetsart University majoring in Mass Communication. Mook has one older brother, GMMTV actor and singer ""Mek"" Jirakit Thawornwong. At fourteen years old, Mook's interest…",623
Han,South Korean,"Han Ji Sun, known simply as Han, is a South Korean singer, dancer and member of STRAY KIDS (스트레이 키즈). He moved to Malaysia and lived there for several years during his childhood. He dropped out from elementary school to move back to South Korea and he did not attend school anymore. He later…",623
Gameplay Garnpaphon  Laolerkiat,Thai,"""Gameplay"" Garnapaphon Laolerkiat is an actor from Bangkok. After graduating from Le Cordon Bleu culinary school, Gameplay went on to sell Thai desserts for a time.",622
Yim Pharinyakorn Khansawa,Thai,"Pharinyakorn Khansawa, nicknamed Yim, is an actor and TV star. He was introduced as a new member of DoMunDi TV on November 21 of 2020.

 Yim has appeared in variety shows like “DMD Reality” (2021) and in 2022 appeared in the popular series “Cutie Pie.” 

(Source: MyDramaList)",622
Na Jae Min,South Korean,"Na Jae Min is a South Korean dancer, singer, songwriter, and actor born in Jeonju. He is a member of NCT Dream. He made his acting debut when he appeared in the drama series “A-Teen” (2018) and made his first appearance in a leading role in the series “How to Hate you.” (2019)",621
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Jeon Do Yeon,South Korean,"Jeon Do Yeon is a South Korean actress. She has won many awards in her career, including the best actress at the 2007 Cannes Film Festival for her portrayal of a broken woman who has lost everything in Lee Chang Dong's ""Secret Sunshine"". Do Yeon spent five years starring in television dramas before…",620
So Ju Yeon,South Korean,"So Ju-yeon is a South Korean model and actress under LSAC Model. She was a cast of Dr. Romantic 2. She also appeared in ADOY's Lemon MV. She made her acting film debut in The Whispering and the television series Not Alright, But It's Alright. She had lead roles in My Healing Love and I Hate Going To…",619
Han Ji Eun,South Korean,"Han Ji Eun is a South Korean actress. In 2005, she graduated from Dongduk Women's University, Department of Broadcasting and Entertainment and made her acting debut in the 2010 movie “Be With Me”. She dated rapper and singer Hanhae from December 2018 until they broke up in September 2020. Her agency…",618
Lee Young Ae,South Korean,"Lee Young Ae is a South Korean actress. She is best known to worldwide audiences for her lead role in the hugely successful Korean historical drama ""Jewel in the Palace"" and her critically acclaimed role as the revenge seeking single mother in the crime thriller film ""Sympathy For Lady Vengeance"". Lee…",617
Jung Hye Sung,South Korean,"Jung Hye Sung, born Jung Eun Joo, is a South Korean actress and model under J,Wide-Company. She gained attention for her roles in television series ""Oh My Venus"", ""Remember: War of the Son"", and ""Love in the Moonlight"".

(Source: Wikipedia)",615
Kang Hoon,South Korean,"Kang Hoon is a South Korean actor under npio Entertainment. He studied Theater and Film at Suwon University and made his acting debut in a short film “Picnic” in 2014. He is best known for his role in historical dramas, The Red Sleeve (2021) and The Secret Romantic Guesthouse (2023). He won the…",613
Jeong Yun Ho,South Korean,"Jeong Yun Ho is a South Korean idol and member of the boy group ATEEZ, represented by KQ Entertainment. He was born in Hak-dong, Gwangju. He debuted as an actor in the series ""Imitation"".",613
Kwon Yul,South Korean,"Kwon Yool, born Kwon Se In, is a South Korean actor under Saram Entertainment (사람엔터테인먼트). He got his start in the 2001 theater production of “Carmen.” 

(Source: Viki; edited by MyDramaList)",612
Inn Sarin Ronnakiat,Thai,"""Inn"" Sarin Ronnakiat, born in Bangkok, is an actor under GMMTV. He graduated from Chulalongkorn University's International Program in Design & Architecture (INDA). After graduation, Inn entered the entertainment industry starting as a DJ. He became an actor in 2018, appearing in Duang Jai Nai Fai Nhao.…",611
Peter Sheng,Chinese,"Sheng Yi Lun, or Peter, is a model, actor and singer born in Hangzhou, Zhejiang Province. After graduating from high school, Peter went on to study fashion design and worked as a graphic model for some magazines. In 2012, he made his acting debut in his first microfilm ""Man in the Mirror."" In 2015,…",610
Yi Da Qian,Chinese,"Yi Da Qian is a Chinese actor born in Yiyang, Hunan Province, China. He attended Guang Ming New District Senior High School, and he graduated from Chongqing University. He debuted in 2018 with a support role in the movie ""The Pluto Moment"". He works under Jay Walk Studio.",610
Amy Sun,Chinese,"Sun Yi Ning (English name: Amy Sun) is a Chinese actress. Born on March 10, 1993, she made her acting debut in the 2013 television series, “Prince of Lan Ling.” She has since appeared in a number of popular dramas, including “The Eternal Love” (2017) and “The Eternal Love 2” (2018). Sun…",609
Xie Bin Bin,Chinese,"Xie Bin Bin, born as Xie Cheng Xun, is a Chinese actor, singer, and host. Having studied at the Beijing Film Academy, his most notable works are ""Journey to the Sing & War"" and ""Love Through the Millennium."" He is also known for being coupled with South Korean girl group Miss A's Fei after they were…",609
Uhm Jung Hwa,South Korean,"Uhm Jung Hwa is a South Korean Korean pop singer and actress under Saram Entertainment. Uhm began her career as a chorus member of MBC from 1987 To 1990. She made her film debut in ""Marriage Story"" and released her first album, ""Sorrowful Secret"", in 1993. She is considered to be one of the most influential…",608
JJ Krissanapoom Pibulsonggram,Thai,"""JJ"" Krissanapoom Pibulsonggram, or Jaylerr, is an actor, model, executive, and musician born in Chiang Mai, Thailand. After graduating from Prince Royal's College in Chiang Mai, Krissanapoom enrolled in the Faculty of Communication Arts at Rangsit University. In 2020, he received a bachelor's degree…",608
Choi Young Jae,South Korean,"Choi Young Jae, known mononymously as Young Jae, is a South Korean singer and member of the K-pop group Got7 (갓세븐). He trained for only seven months and was the last member to join the group. Choi graduated from Seoul's Korean Arts High School in February 2015 and got accepted into Seokyeong University's…",608
Yoo Jae Suk,South Korean,"Yoo Jae Suk is a South Korean comedian and television comedy show host. Nicknamed the ""MC of the nation"". Nicknamed ""The Grasshopper"" due to his early appearance as a grasshopper, he is now known for his quick wit and appeal across a wide range of demographics. He has established himself as one of Korea's…",608
Lee Jong Won,South Korean,"Lee Jong Won is a South Korean actor managed by THEBLACKLABEL. He was formerly managed by Echo Global Group. He made his debut in the 2018 series “Back to the Future”. Lee served in the military in 2015 at the Republic of Korea Army Mark Army 30th Mechanized Infantry Division, a military service…",608
Vic Zhou,Taiwanese,"Vic Chou, a Taiwanese singer and actor, gained prominence as a member of the idol group F4. He was born in Luodong, Yilan, Taiwan, with ancestral ties to the Atayal tribe, an indigenous group. After graduating from Luodong Vocational High School, he pursued Business Management studies at Taipei College…",607
Shim Chang Min,South Korean,"Shim Chang Min is a South Korean singer, actor, and member of the K-pop boy group TVXQ under SM Entertainment. He was born and raised in Seoul, South Korea. He was first scouted by a talent agent at the age of 14 while playing badminton in gym class. He made his debut as the youngest member of TVXQ…",607
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Mai Davika Hoorne,Thai,"""Mai"" Davika Hoorne is a Thai-Belgian actor and model. She attended Phraharuthai Donmuang School and Kevalee International School during her primary and secondary school years before graduating from Rangsit University's Faculty of Communication Arts. She made her acting debut in ""Ngao Kammathep"" (เงากามเทพ).…",605
Jo Jae Yoon,South Korean,"Jo Jae Yoon, born in Cheongju, North Chungcheong, South Korea, is an award-winning actor for film, television, and stage. He made his acting debut in the 2003 film “Please Teach Me English”(영어완전정복). For the 2016 drama ""Descendants of the Sun"" ( 태양의 후예), he won the 2nd Scene…",605
Park So Yi,South Korean,"Park So Yi is a South Korean actress represented by YG entertainment. She made her debut in the 2018 series “Mistress. Park steadily gained domestic recognition for her role in the 2020 South Korean film, ""Deliver Us from Evil"", earning her a nomination for the Best New Actress Award In Films at the…",605
Mizukami Koshi,Japanese,"Mizukami Koshi, formerly known by his stage name Okada Kenshi is a Japanese actor. He was born in Fukuoka, Japan. He made his acting debut in October 2018, with the role of Kuroiwa Akira in Chugakusei Nikki.",604
Victor Ma,Chinese,"Victor Ma is a Chinese-American singer, songwriter, rapper, and actor under WAJIJIWA Entertainment. He was born in New York, United States and attended University of Southern California. He debuted his career by winning second place at the 2017 Chinese talent competition show, The Coming One. In 2018,…",604
Kim Bo Ra,South Korean,"Kim Bo Ra is an actor managed by Noon Company. She has a B.A. in Film and Theatre Studies from Inha University. In 2005, Bo Ra made her acting debut at the age of eleven in the drama ""Wedding."" On June 8, 2024, Bo Ra tied the knot with director Jo Ba Reun. The two got to know one another while working…",602
Sabrina Zhuang,Chinese,"Participated in the movie ""The Old Man Wishes"" in 2012. In 2017, She participated in the urban emotional film "" Miss Puffs "" and the TV series "" Never Gone ."" In 2019, Da Fei participated in the youth-romance drama ""Mountains and Oceans """,602
Lee Chae Min,South Korean,"Lee Chae Min is a South Korean actor managed by Gold Medalist Entertainment (골드메달리스트). In 2021, he made his acting debut in the drama ""High Class"" (하이클래스). He is a student at the Korea National University of Arts, where he is majoring in acting. He's currently dating his ""Crash…",601
Lee Tae Sun,South Korean,"Lee Tae Sun is a South Korean actor. He made his debut as an actor in 2016. Since then, he has appeared in various television dramas, including “My ID is Gangnam Beauty” (2018) and “Hotel del Luna” (2019).",600
Cha In Ha,South Korean,"Cha In Ha (Born: Lee Jae Ho) was a South Korean actor, singer, and member of the idol-actor group, SURPRISE U, under Fantagio Entertainment. He debuted in 2017 as a singer and debuted as an actor in the short film ""You, Deep Inside of Me"". He gained popularity after appearing in the web series ""Miss…",600
Uhm Ki Joon,South Korean,"Uhm Ki Joon is a South Korean actor from Seoul who is managed by Your Entertainment. He is a famous musical actor. He debuted in 1996 and has appeared in a long list of well-known musicals. He appeared in Lee Ki Chan's ""Three People"" MV with Kim Sun Ah and in Toy's ""Annyeong Seumusal"" MV. He won the…",598
Park Se Wan,South Korean,"In 2016, Park made her television acting debut in KBS2's short drama special “The Red Teacher”. She started gaining more attention in 2017 with her supporting roles in the coming-of-age series “School 2017” and the romantic-comedy drama “I'm Not a Robot”. Park starred in her first lead role…",598
Marcus Li,Chinese,"Li Ming De, or Marcus Li, as he's also known, is a Chinese actor. He made his acting debut in 2018. Since debut, he has appeared in various television dramas, including “When We Were Young” (2018) and “Go Go Squid!” (2019).

(Source: Viki)",598
Huang You Ming,Chinese,"Huang Ming is a Chinese actor. Born on April 15, 1986, he made his acting debut in the 2006 television series “River Flows Like Blood.” He has since appeared in many popular films and television dramas, including the recent “The Legend of Fragrance” (2015), “The Four” (2015), “The Lost…",594
Jason Xu,Chinese,Xu Feng (English name: Jason) is a Chinese supermodel and actor born in Shanghai. He won the 2015 New Silk Road East China Division champion and the 2017 most photogenic award in the man’s uno global Chinese male model contest. His acting debut was in 2017 when he co-starred in the bromance drama…,594
Karry Wang,Chinese,"Wang Jun Kai (English name: Karry), born in Chongqing, is a Chinese singer, dancer, actor, model, and leader of the Chinese boy group TFBOYS. Karry graduated from Beijing Film Academy. In 2010, at the age of 11, Karry was chosen as a trainee under times Fengjun Entertainment. He trained as the first…",593
Park Hee Soon,South Korean,"Park Hee Soon is a South Korean actor under S.A.L.T Entertainment (솔트엔터테인먼트). He graduated with a theatre degree from Seoul Institute of the Arts and was a member of the Mokwha Repertory Company from 1990 to 2001. From 2015 to 2021, Hee Soon was signed with King Kong by Starship (formerly…",593
Kim Min Ki,South Korean,"Kim Min Gi is a South Korean actor managed by HM Entertainment. He debuted in the 2020 ""The Temperature Of Language: Our Nineteen"". He is best known for his role in True Beauty. He went to Daeryong Middle School and Gangwon High School. He has a YouTube channel named ""김민기 KIM MINGI"" where he posts…",593
Esther Supreeleela,Thai,"Esther Supreeleela is a Thai-Malaysian actor and model who started working in the entertainment industry at the age of twelve, mostly modelling for teen magazines and advertising brands. At the age of fifteen, Est participated in the 2009 MISS CAWAII contest, code 31. Esther attended both Thonburi University…",592
Go Joon Hee,South Korean,"Ko Joon Hee, born Kim Eun Joo, is a South Korean actress. Eun Joo made her entertainment debut as a school uniform model in 2001, then launched an acting career in 2003. She adopted the stage name Ko Joon Hee in 2008, after her character's name in ""What's Up Fox?"". She had supporting roles in mainstream…",592
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Hank Wang,Taiwanese,"Hank Wang is a Taiwanese actor managed by EeLin Entertainment. He made his acting debut in 2018. He used to be a member of the boy band, noovy. In 2014, he took part in the Ealing Bright Star audition and won the championship in the category of performing arts. After going solo, he has moved on to his…",592
Park Eun Seok,South Korean,Park Eun Seok is a Korean actor and model who born in South Korea but immigrated to the U.S. with his family at the age of 7. He took an acting class in Manhattan and came back to Korea around the age of 22 to fulfill his dream of acting. Park did not have to serve in the army as part of the mandatory…,590
Choi Yeon Jun,South Korean,"Choi Yeon Jun is a South Korean singer from Bundang-gu, Seongnam City, Gyeonggi-do, South Korea, and a member of the boy group TXT( Tomorrow X Together) which debuted on March 4, 2019 with the song 'Crown'. Often deemed '4th gen it boy,' Yeon Jun displays his many skills through his idol career. His…",590
Rosé,Australian,"Roseanne Park, better known by her artistic name Rosé, is a South Korean member of the girl group BLACKPINK. She was born in Auckland, New Zealand. She grew up in Melbourne, Australia, as a child, and she moved to South Korea when she ranked first in the audition that YG Entertainment held in Sydney,…",590
Mark Tuan,American,"Mark Yi En Tuan, simply known as Mark is a member of the JYP Entertainment boy group GOT7. Mark was born in Los Angeles, California, but grew up in Brazil and Paraguay before moving back to Los Angeles. He comes from a Christian family and has two sisters (Tammy and Grace) and one brother (Joey). Mark…",589
The8,Chinese,"Xu Ming Hao, better known by his stage name The8, is a Chinese member of Pledis Entertainment's Korean boy group Seventeen. He was born in Haicheng, Liaoning, China. He did b-boying in China for 6 years and has been practicing Chinese Wushu (martial arts) since he was 5 years old. He participated and…",589
Choi Sung Eun,South Korean,"Choi Sung Eun is a South Korean actress who was born on June 17, 1996. She attended Kaywon High School of Arts under the Department of Theater and Film before getting admitted to the Korea National University of Arts' Acting Department in 2015. She made her acting debut in the movie “Start-Up” (2019),…",588
Kim Hye Joon,South Korean,"While studying at Hanyang University (Dept. of Theater and Film), Kim passed an audition for Saturday Night Live Korea, becoming a regular cast member for season 7. There, she gained some exposure from popular skits, which led to her taking supporting roles in several productions after her departure…",587
Honda Tsubasa,Japanese,"Honda Tsubasa is a Japanese actress and model under Stardust Promotion, a Japanese talent agency. In mid-2006, Honda was scouted by seven different people on the same day, which became the reason behind her entering the entertainment industry. She then made her debut as an exclusive model to the magazine…",586
