Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
Let's Chat Season 2,Chinese TV Show - 2021,11 episodes,"There is nothing that can't be solved by a hot pot. If it can't, then eat 11 meals. ""Let's Chat 2"" is the spin-off program of ""Street Dance of China: Season 4,"" as well as the second season of last year's hit! The four…",7.9
Girls on Fire,Korean TV Show - 2024,11 episodes,"""Girls on Fire"", a third edition to the shows ""Phantom Singer"" and ""Super Band"", a competition consisting of only female main vocalist material to create a new vocal group dominating a ""NEW KPOP"" genre, creating a strong…",8.0
Twice TV Season 5,Korean TV Show - 2017,24 episodes,"The show follows the nine members of TWICE — Nayeon, Jihyo, Jungyeon, Mina, Sana, Momo, Chaeyoung, Dahyun and Tzuyu — a South Korean girl group formed by JYP Entertainment, in their idol lifes. The episodes show…",8.4
Sleeping Only Relationship,Korean TV Show - 2022,8 episodes,"MZ generation's ""Six to Six"" secret night date that needs romance! A dating reality program of love cells that are awakened by eight ""sleeping"" people.

(Source: Korean = Naver || Translation = MyDramaList)",7.1
Back to Field Season 3,Chinese TV Show - 2019,13 episodes,"He Jiong, Huang Lei, Peng Yu Chang and Wendy Zhang travel to a rural part of Xiangxi in the Hunan province to live as farmers and host celebrity guests. As part of the program, guests can order a few dishes before their…",8.3
Society Game 2,Korean TV Show - 2017,12 episodes,"22 contestants live together for two weeks in a simulated village that consists of two opposing societies. At the end of the game, only one of the two societies will survive: A society where a strong leader dictates,…",7.8
Star Road: Stray Kids,Korean TV Show - 2020,16 episodes,OSEN’s “Star Road” is a program where Korean celebrities showcase charms that haven’t been seen yet or a different side of celebrities than the ones fans know on stage. From casual interviews to real daily life…,8.4
B SIDE: Stray Kids,Korean TV Show - 2019,3 episodes,Unveiling  new track of Stray Kids.,8.5
We Don't Bite: Street Woman Fighter,Korean TV Show - 2022,3 episodes,"Look carefully~ This time it's unnies' vacation! Representatives dancers from Street Woman Fighter are coming for vacation in the countryside.

(Source: Korean = Naver || Translation = MyDramaList)",7.9
Twinkle Love Season 3,Chinese TV Show - 2023,20 episodes,"""Twinkle Love"" has returned with its third season, offering a captivating youth travel reality show tailored for young adults. It beautifully showcases the romantic relationships and personal growth of young Chinese…",7.8
Back to Field Season 2,Chinese TV Show - 2018,14 episodes,"It features a core cast of celebrities living on a farm, with new guests each day to help with the work. In each episode, the guests call ahead to order a dish they want, and the hosts attempt to make it. The guests…",8.4
Dopojarak: Story of Homme the K-Wanderer,Korean TV Show - 2022,10 episodes,"A new travel variety show where personalities from different fields such as k-pop, k-dramas, fashion and sports travel to different countries to promote South Korean culture. Their first destination is Denmark. (Source:…",8.2
Dragon Club - Immature Bromance,Korean TV Show - 2017,8 episodes,"Although they have been best friends for the past 20 years, these five celebrities were too busy to make any special memories such as traveling together. The childish and simple-minded group of five guys will go on a…",8.0
Parasite Challenge Ateez,Korean TV Show - 2021,8 episodes,"ATEEZ is on vacation at the pension that Jong Ho rented, but what is the sound that's left them surprised? Pizza box folding, ordering snacks, stealing ingredients from the kitchen and many other challenges await them.…",8.4
Tomorrow x Together Debut Celebration Show,Korean TV Show - 2019,1 episodes,"""Tomorrow x Together Debut Celebration Show"" is the K-Pop boyband TxT's own televised special in Korea, presented by Mnet which was released with their debut album, ""The Dream Chapter: STAR"".

(Source: MyDramaList)",8.6
Our Season: Spring with Park Jae Chan,Korean TV Show - 2022,3 episodes,"Here's Park Jae Chan in his youth. The spring day of his life has finally come. While being unable to fully enjoy the spring due to growing attention from the public and his hectic schedule, he gets a friendly letter…",7.8
Secret Man and Woman,Korean TV Show - 2022,12 episodes,"A romantic reality show in which men and women with various stories and wounds find true love.

(Source: Naver)",7.4
Exomentary Live,Korean TV Show - 2016,15 episodes,Overview not available,8.6
Summer Surf Shop,Chinese TV Show - 2020,10 episodes,A surfing variety show by iQiyi where celebrities participate in surfing activities and also taking the responsibility of managing a store.,7.9
NCT 127 HIT THE STATES,Korean TV Show - 2019,16 episodes,NCT 127 HIT THE STATES follows NCT 127 around the US leg of the NCT 127 1st Tour: NEO CITY - The Origin. It consists of the city's representative and others touring around the city.,8.6
DNA Mate,Korean TV Show - 2022,47 episodes,"DNA Mate is an observational reality show focusing on siblings, a.k.a. DNA mates. We can enjoy watching celebrities' daily lives and their unique dynamics with other siblings.",8.2
Youth Periplous Season 3,Chinese TV Show - 2021,12 episodes,"The third season of Youth Periplous takes the audience to explore beautiful sceneries, regional foods, and local history across China. From the lens of civilian perspectives, the show gives the city a new channel to…",7.9
Any Body Can Dance,Korean TV Show - 2022,4 episodes,"Any Body Can Dance! Anyone can dance as long as they love dancing! This is a rebellion of those energetic and talented dancers that can't dance well! A dancing reality program with ""Street Woman Fighter"" leaders as they…",8.0
E.M.S Earth - Mix Space Season 2,Thai TV Show - 2023,12 episodes,E.M.S bring the first variety show featuring Earth Pirapat and Mix Sahaphap as your hosts. Join them as their reveal stories and do activities that one person loves but the other hates. Even though in theory they are…,8.5
7LLIN’ in Our Youth,Korean TV Show - 2022,6 episodes,"It features NCT DREAM taking their second trip together since all seven members of the group became legal adults. The show features idols having fun as they relax and enjoy delicious food together on their vacation,…",8.4
Let's Fall In Love Season 3,Chinese TV Show - 2021,12 episodes,"Let's Fall in Love3 is an observational show produced by Jiangsu Satellite TV and Youku in 2021, hosted by the ""Love Observation Group"" composed of Zhang Chun Ye, Yi Neng Jing , Zhang Jike , Zhu Zheng Ting , Song Yu…",7.6
Begin Again Season 4: Korea,Korean TV Show - 2020,10 episodes,"In seasons one to three, singers traveled to various cities in the United Kingdom, Portugal, and Italy. In this the musicians will go on a busking trip around Korea and comfort Korean citizens suffering from the COVID-19…",8.5
Brother Ramyeon,Korean TV Show - 2023,8 episodes,"Ramyun Brothers go to a famous tourist spot and open a ramyeon restaurant. They prepared 21 ramyeon recipes that can show the taste of Korea to people. As they serve various kinds of ramyeons, their goal is to capture…",8.0
"Yes, I Do Season 4",Chinese TV Show - 2023,24 episodes,Overview not available,8.1
NCT 127 Baseball Team,Korean TV Show - 2020,3 episodes,NCT 127 High School baseball Team,8.5
Mafia Kindergarten,Thai TV Show - 2022,9 episodes,Overview not available,8.3
Heroes,Korean TV Show - 2010,40 episodes,"A ""popularity search variety"", where the female celebrities compete to find out which of them is more popular among citizens. Each week, the celebrities are divided into two equal groups of a ""Popular"" group and an ""Unpopular""…",8.2
This Is Infinite,Korean TV Show - 2014,8 episodes,Overview not available,8.4
We Are Blazing,Chinese TV Show - 2020,8 episodes,We Are Blazing is Tencent Video's first program of competitive performance among groups in China. It is also a stage for groups to introduce themselves anew. Different group styles will be shown here. Let's wait and…,8.1
D.O.B,Korean TV Show - 2016,8 episodes,A KPOP Debut survival show by MNET and FNC consisting of 2 team : NEOZ DANCE (now known as SF9) and NEOZ BAND (now known as HONEYST),7.8
Chain Reaction,Korean TV Show - 2022,8 episodes,"A thrilling real dating entertainment show where hot men and women gathered in Saipan, a paradise on earth that stimulates excitement, are tied together in a chain and spend 240 hours together. (Source: Korean = Naver…",7.2
Seventeen: Where Is My Friend's Island?,Korean TV Show - 2015,7 episodes,"Seventeen visits Jeju Island, where Seungkwan was born.",8.3
GOT7ing+,Korean TV Show - 2017,3 episodes,"Second installment of GOT7ing.
""NO script, NO mission, NO game, NO penalty"" !",8.5
Little Big World,Thai TV Show - 2022,12 episodes,"In this travel show, hosts Pond and Phuwin take viewers around Thailand, showing off the sights, landmarks, activities and restaurants that make each location special. 

(Source: MyDramaList)",8.0
Youth Periplous Season 2,Chinese TV Show - 2020,12 episodes,"The show is comprised of a ""Spring Outing Family"" that gets to experience Chinese culture by visiting various cities and destinations, enjoying local food, and appreciating distinctive local elements and beautiful scenery.…",8.1
The Zone: Survival Mission Season 3,Korean TV Show - 2024,8 episodes,"Yoo Jae Suk, Kwon Yu Ri, and newly joined Kim Dong Hyun face the mission of having to survive for 4 hours in a virtual space that crosses reality and surrealism, and Dex's representative original entertainment show on…",8.1
Pajama Friends,Korean TV Show - 2018,13 episodes,Four women who work in different fields in the industry come together for two days one night hotel vacations of different hotels in South Korea.,8.1
Stray Kids x LieV,Korean TV Show - 2018,2 episodes,The members of Stray Kids lay down and tell stories in a sleepover-themed set.,8.4
Come on! THE BOYZ: THE BOYZ School,Korean TV Show - 2019,8 episodes,"The Boyz as teachers, teaching you life hacks and how to be popular",8.2
The Fan,Korean TV Show - 2018,12 episodes,"A new type of survival show is here. Hottest stars in the industry try to find the next future stars. Stars become the fan of the future stars and try to support them. While competing one another, these future stars…",7.9
Apink Showtime,Korean TV Show - 2014,8 episodes,Every guy wants a girlfriend like them and every girl wants to be like them! The show provides a chance to get to know Korea’s representative girls-next-door individually and to see their daily lives as ordinary twenty…,8.2
NCT 127 BATTLE GAME: Office Final Round,Korean TV Show - 2020,4 episodes,NCT 127 split into three teams and battle it out to find out which team is the best in the company.,8.5
The Irresistible Season 2,Chinese TV Show - 2021,12 episodes,"A game variety show where two teams are categorized by their generation, Gege (Older Brother) and Didi (Younger Brother). Through competitive games on the show, the two generations can understand each other, achieve…",8.0
"Stray Kids “STEP OUT 2019"" Director's Cut",Korean TV Show - 2019,1 episodes,Overview not available,8.4
The 100,Korean TV Show - 2018,24 episodes,"Follows a 100 hours of the daily lives of ""The Boyz"" boy group as they preparing a mini concert for their fans.

(Source: MyDramaList)",8.6
Adventure by Accident Season 2,Korean TV Show - 2023,10 episodes,"The no plan, hard work variety show documentary is back with season 2! Join Kian84, DEX and Pani Bottle in a new adventure through the country where life and death coexist: India. (Source: Korean = MBC || Translation…",8.1
After Mom Goes to Sleep,Korean TV Show - 2017,67 episodes,"Kpop idols try to prepare food while mom goes to sleep. They need to be quiet, otherwise they must put on disguises for punishment.",8.2
Ace vs Ace Season 6,Chinese TV Show - 2021,12 episodes,Overview not available,8.0
Great Escape Season 5,Chinese TV Show - 2023,13 episodes,Overview not available,8.1
The Romance,Korean TV Show - 2020,8 episodes,The entertainment program is about Korean stars who are debuting as writers of romance web drama. They share their thoughts about love and will create their own synopsis. The show will show their process of writing the…,7.7
Stray Kids: SKZ-Talker Go! Season 3,Korean TV Show - 2022,18 episodes,Overview not available,8.6
Twinkle Love Season 2,Chinese TV Show - 2022,20 episodes,"Twinkle Love returns with the second season, a youth travel reality show for the 20-year-olds. The first season of the program begins. A group of millenial (00) generation met for the first time. The newcomers journey…",7.8
Come On! THE BOYZ in NY,Korean TV Show - 2019,4 episodes,"The Boyz on a trip to New York, USA",8.6
Workman Season 1,Korean TV Show - 2019,153 episodes,"The show follows Jang Sung Kyu as he takes on different part-time jobs. Occasionally, Kim Min Ah takes on part time jobs too.

(Source: MyDramaList)",8.4
X1 Flash,Korean TV Show - 2019,2 episodes,"“X1 FLASH” will follow the members as they prepare for their debut, and will also give a glimpse into their real lives and honest emotions.

(Source: Soompi)",8.1
BE-hind Full Story,Korean TV Show - 2021,7 episodes,Overview not available,8.9
HK Coin,Korean TV Show - 2022,70 episodes,"A new game variety show in which a coin can determine fate. The stars do games to stack up points, and a simple coin toss can shake up the status. Although the setup is straightforward, the unexpected fun and chemistry…",8.2
Show Me the Money Season 1,Korean TV Show - 2012,8 episodes,"The format of each season varies, but generally consists of contestants going head to head in a series of challenges until only one rapper remains. The show includes a mixture of rookie and experienced rappers, with…",7.9
"Yes, I Do Season 2",Chinese TV Show - 2020,23 episodes,"A sequel to season one with new love counselors and new tenants. Nine young men and women stay together for a month in ""Like You Cabin"" (located in Beijing). Love counselors will observe and predict their choices based…",7.7
Falling in Love Like a Romantic Drama Season 2,Japanese TV Show - 2018,12 episodes,"A reality TV show, hosted by Watanabe Naomi, that follows 8 young actors and actresses performing kiss scenes for dramas.

(Source: MyDramaList)",7.7
Fresh off the Sea,Korean TV Show - 2024,12 episodes,"'Sister’s Direct Delivery' is a salty fishing village reality show about Yeom Jung Ah, Ahn Eun Jin, Park Joon Myun, and Dex, who start living in a seaside village for 3 days and 2 nights. It contains a variety of journeys,…",8.2
Twice TV Season 2,Korean TV Show - 2015,10 episodes,"The show follows the nine members of TWICE — Nayeon, Jihyo, Jungyeon, Mina, Sana, Momo, Chaeyoung, Dahyun and Tzuyu — a South Korean girl group formed by JYP Entertainment, in their idol lifes. The episodes show…",8.0
Some Vival 1+1,Korean TV Show - 2019,20 episodes,A reality show where contestants will find love in a mart. It is a unique concept where contestants with similar tastes are paired. Contestants who fail to find a match are eliminated making the last two to survive a…,7.5
"Same Bed, Different Dreams Season 2: You Are My Destiny",Korean TV Show - 2017,375 episodes,"When something happens between a couple, it’s surprising how each person’s interpretation and memory of it differs from the other’s. By watching the daily life of a celebrity couple that faces challenges and conflict…",8.0
Leniverse,Korean TV Show - 2022,47 episodes,"“LENIVERSE” (a compound word of “LE SSERAFIM” and “Universe”) is a parallel universe of LE SSERAFIM where they can escape from reality and explore new things. “LENIVERSE” includes discovery, experience,…",8.5
It's Awkward But It's Ok: Special,Korean TV Show - 2020,6 episodes,"""The content only NCT can do"" - two members chose another two members who are not that close to each other, resulting in an awkward relationship. Together they guide them through different missions to get them closer…",8.6
GOT2DAY Season 1,Korean TV Show - 2015,21 episodes,A YouTube series that had each member of GOT7 participate in an open talk with each of the other members.,8.5
Mafia Dance,Korean TV Show - 2018,26 episodes,"The classic mafia game with a twist! Idols dance to their latest song but some members are 'mafia' and are hearing a different song instead. Can the other members spot who the mafia are, or will the mafia succeed in…",8.4
Super Nova Games Season 4,Chinese TV Show - 2021,8 episodes,"An annual celebrity sports event by Tencent. This year they'll have a winter and summer edition. The sports this season are skateboarding, snow ball fights, curling, ice dance, speed skating, rock climbing, street basketball,…",8.1
Street Woman Fighter Gala Talkshow,Korean TV Show - 2021,2 episodes,"The fierce women armed with stunning street dance take over the stage this summer. The unceasing battles between the real dancers will make you hold your breath. They boast their unique dance styles, skilled performance,…",7.9
Back to Field Season 1,Chinese TV Show - 2017,14 episodes,"It features a core cast of celebrities living on a farm, with new guests each day to help with the work. In each episode, the guests call ahead to order a dish they want, and the hosts attempt to make it. The guests…",8.1
Lipstick Prince Season 2,Korean TV Show - 2017,10 episodes,"Lipstick Prince: Season 2 is a South Korean beauty show distributed by OnStyle and premiered March 30, 2017. The show features 7 idols learning about makeup techniques and applying these new skills on celebrity guests…",7.8
Let's Party,Chinese TV Show - 2020,12 episodes,"The first variety show of The9, a Chinese girl group created through iQIYI's idol survival program Youth With You 2.",8.3
Call Me by Fire Season 1,Chinese TV Show - 2021,18 episodes,"The male version of Sisters Who Make Waves. The show focuses on breaking the limit plus challenging oneself, and opening up the long-lost dream of being in a boy band for the brothers. Regarding the competition system,…",8.2
Bistro Shigor,Korean TV Show - 2021,12 episodes,"Welcome to Bistro Shigor! The show observes celebrities running a pop-up restaurant in a remote rural town. Consulted by the best chefs in the country, the restaurant serves fantastic french cuisine using local ingredients.…",8.0
Boys' Mind Camp 2,Korean TV Show - 2021,12 episodes,"A healing variety show that checks on the mentality of idols who are exhausted from their busy schedules and fierce competition, taking their time to get to know each other.",8.6
The Romantic and Idol Season 2,Korean TV Show - 2013,6 episodes,"For 4 days and 3 nights, the 8 idols selected should select another to remain as a couple they should also vote with who they want to stay.",7.1
ILOGU: Monsta X in Jeju,Korean TV Show - 2019,8 episodes,"Next show about Monsta X living their free time as a trip to Jeju Island. We can see them eating, playing, messing around and even doing some sport.",8.6
Boss in the Mirror,Korean TV Show - 2019,300 episodes,"This is a program for all the bosses in Korea! So many office workers and employees are working hard night and day to live a better life. During their working hours, working with their boss is unavoidable. This show…",8.0
The Man of Ateez,Korean TV Show - 2021,4 episodes,Overview not available,8.3
Fantastic Duo Season 2,Korean TV Show - 2017,36 episodes,"Fantastic Duo is a South Korean television program is a show where fans can sing a duet with their favorite singer using their cell phones. In season 2, the rules have been modified so now it features 2 (or 3) singers,…",8.1
NCT on Air,Korean TV Show - 2016,2 episodes,Overview not available,8.3
The House Detox,Korean TV Show - 2020,50 episodes,"The story of giving tips on how to organize your house begins now! If the quality of your house changes, then the quality of your life changes as well. The one who prefers to own fewer possessions, a minimalist Shin…",8.2
Go Fighting! Season 4,Chinese TV Show - 2018,12 episodes,"Go Fighting! is classified as a game-variety-reality show, and the MCs and guests complete missions at a landmark to win the objective. Usually each episode will also have an over-arching theme or story. Each episode…",8.1
Ateez's Do Not Disturb,Korean TV Show - 2021,8 episodes,"Where Ateez members have time only for themselves without being disturbed by anyone! Delicious food, fun activities, and good people! There's nothing better than traveling with each other. (Source: Universe Official…",8.6
HIT Village: Stray Kids,Korean TV Show - 2021,1 episodes,Overview not available,8.5
NCT Dream School Mate,Korean TV Show - 2017,7 episodes,Overview not available,8.5
Abnormal Summit Season 2,Korean TV Show - 2016,75 episodes,"Season Two's Episode 103 began with production changes. Chief Producer (CP) Lim Jung Ah was replaced by Cho Seung Wook who created KBS2 Yahaengsung or Night Star, and Hidden Singer after joining JTBC. PD Kim Hee Jung,…",8.2
SKZ X MBTI Lab,Korean TV Show - 2022,1 episodes,Overview not available,8.5
The Genius Paik Season 2,Korean TV Show - 2023,14 episodes,"Paik and his crew go to Spain. In a place where he doesn't speak the language and has no popularity to rely on, he must build a business from ground up again. Will Paik Jong Won be able to reach world-class game with…",8.0
Twice TV Season 3,Korean TV Show - 2016,8 episodes,"The show follows the nine members of TWICE — Nayeon, Jihyo, Jungyeon, Mina, Sana, Momo, Chaeyoung, Dahyun and Tzuyu — a South Korean girl group formed by JYP Entertainment, in their idol lifes. The episodes show…",8.1
Because This is My First Twenty,Korean TV Show - 2018,12 episodes,"The show will follow Kim So Hyun's travels to the United States in order to reflect on herself as an actress, a global star, and of course, a 20-year-old woman. Kim So Hyun will reportedly depart for the U.S. sometime…",7.8
Time to Twice: Healing Camping,Korean TV Show - 2020,5 episodes,The fourth season of Time to Twice in which the girls go on a relaxing group camping trip.,8.4
Master in the House Season 2,Korean TV Show - 2023,16 episodes,Overview not available,7.8
Mystery 6,Korean TV Show - 2006,6 episodes,"Mystery 6 is a South Korean horror mockumentary featuring Super Junior. The series consists of hidden cameras, interviews and a narrative ""documentary"" on investigating the truth behind a former tenant's death in Super…",7.3
Time to Twice: Noraebang Battle,Korean TV Show - 2020,4 episodes,Twice members again split into three groups; this time playing a series of karaoke related games in order to win first place.,8.2
Boys' Journey,Thai TV Show - 2023,16 episodes,"Get to know the 12 actors of CHANGE2561's boys love series ""Pitbabe"".

(Source: MyDramaList)",8.3
Let's Go! Dream Team Season 2,Korean TV Show - 2009,336 episodes,"The new season of the KBS variety game show, 'Let's Go! Dream Team Season 2'! The first season aired in 1999 until 2003 and created a national craze. Now, the show has returned. Top celebrities face off with viewer contestants…",8.0
BE.T.S,Korean TV Show - 2021,1 episodes,"BE Essential + after Hoseok birthday surprise live, spending quality time with army whilst eating pizza",8.9
I Can See Your Voice Season 9,Korean TV Show - 2022,12 episodes,I Can See Your Voice” is a mystery music game show. The guest artist(s) must attempt to guess between six contestants who are 'good singers' (skilled vocalists) and 'bad singers' (tone-deaf vocalists) without hearing…,8.0
GGULlog.zam ATEEZ : HOLIDAY,Korean TV Show - 2021,7 episodes,Overview not available,8.5
Intro: I AM WHO,Korean TV Show - 2018,2 episodes,"Stray Kids introduction documentary for their upcoming mini album ""I AM  WHO""",8.5
First In Last Out,Chinese TV Show - 2022,10 episodes,"From the first perspective of ""new firefighters"", the professional stories behind the firefighters are revealed, and the life of young males is closely understood, leading the audience to see the real three-dimensional…",8.3
NCT Mini Game Heaven,Korean TV Show - 2018,4 episodes,NCT members playing mini games,8.5
Mari and Me,Korean TV Show - 2015,17 episodes,"Mari and Me is a show where stars visit homes of pet owners and take care of the pets for them because they are busy with work. Kang Ho Dong, Kim Min Jae, Seo In Guk, Shim Hyung Tak, Lee Jae Hoon, iKON‘s B.I and Jinhwan,…",8.2
Fantasy Restaurant,Chinese TV Show - 2018,12 episodes,"Celebrities from Idol Producers are assigned to a task to open a restaurant in Australia. Members earned some of their willingness to run a restaurant called ""SPACE"" to fulfill their wish list for fans. The show will…",8.5
Project Alpha,Thai TV Show - 2022,12 episodes,"Twenty-seven trainees compete for coveted idol positions on GMMTV's roster of artists. Among the competitors, four Alphas are selected and grouped together. The remaining competitors are split into Beta groups. Each…",8.1
Love Transit,Japanese TV Show - 2023,8 episodes,"A group of young adults live together in a house to find out where their hearts are leading them. They can either choose to leave the house alone, together with a new partner or together with their ex. However, they…",7.2
K-pop Star Season 1,Korean TV Show - 2011,22 episodes,Survival Audition K-pop Star is a South Korean reality TV competition show where the three largest entertainment/talent agencies in Korea hold worldwide auditions to find the next potential K-Pop stars. Preliminary auditions…,7.8
The Second World,Korean TV Show - 2022,10 episodes,"K-pop girl group main rappers' vocal battle! Their first step as vocalists beyond rappers! Who will be the artist who will be recognized in ""The Second World""?

(Source: Korean = Naver || Translation = MyDramaList)",8.0
Re:verse,Korean TV Show - 2023,12 episodes,"""RE:VERSE"", a female virtual idol reality competition starring contestants who are idol group members in real life. Giving them the opportunity to have a debut in the real world and now the virtual world. 30 idols will…",8.2
Produce 101 Japan the Girls,Japanese TV Show - 2023,11 episodes,"101 trainees undergo specialized training and tests. They grow together in the midst of fierce competition, challenging difficulties, and overcoming setbacks. From among them, 100% of the eleven members will be voted…",7.6
Twice TV Season 6,Korean TV Show - 2017,12 episodes,"The show follows the nine members of TWICE — Nayeon, Jihyo, Jungyeon, Mina, Sana, Momo, Chaeyoung, Dahyun and Tzuyu — a South Korean girl group formed by JYP Entertainment, in their idol lifes. The episodes show…",8.3
Pirate Reboot: The Five Treasures,Korean TV Show - 2021,10 episodes,A real-world with eight characters of eight members sailing through the huge sea of space. ATEEZ has to successfully complete ESC's mission and recover its honor by finding a pirate license.,8.5
Ace vs Ace Season 5,Chinese TV Show - 2020,12 episodes,Overview not available,8.4
Law of the Jungle in Komodo,Korean TV Show - 2017,9 episodes,Overview not available,8.3
Flower Crew Season 1,Korean TV Show - 2016,29 episodes,"Based on a unique concept, Flower Crew will take the cast members on a three-day adventure in which all their decisions will be made by viewers of the show. Viewers will have the chance to participate in the show through…",7.7
"Yes, I Do Season 3",Chinese TV Show - 2022,24 episodes,"It focuses on 10 young men and women living together for 21 days in the ""Love You Cabin"", located in Shenzhen. The hosts panel will watch and deduced love signals that appeared between them. If the host guesses correctly,…",7.7
Hitmaker Season 1,Korean TV Show - 2014,4 episodes,"Producer duo Jeong Hyeong Don and Defconn unite four members from different K-pop groups, Jackson (GOT7), Sungjae (BtoB), N and Hyuk (Vixx) and create a new group, Big Byung, and produces a hit with them. (In the second…",8.0
Girls' Generation and the Dangerous Boys,Korean TV Show - 2011,12 episodes,"The girls take up the challenge of being mentors for the first time. They have prepared opportunities for the 4 (initially 5) teenage boys to change their bad habits and start anew. In the later episodes, they learn…",7.8
Song Min Ho's Pilot,Korean TV Show - 2021,7 episodes,"Na Young Seok PD is back with a new series on Youtube called ‘Song Min Ho’s Pilot’. Song Min Ho, also known as MINO, of the boy band WINNER, will be starring in this series that has four segments. The four segments…",8.0
Stray Kids: Nosolo,Korean TV Show - 2021,3 episodes,Overview not available,8.6
Two Yoo Project Sugar Man Season 1,Korean TV Show - 2015,39 episodes,"The program revolves around the battle of two teams led by Yoo Jaesuk and Yoo Heeyeol. Each team will brings back a ""Sugar Man"": the singer who was a one-hit wonder, but has since disappeared from the public eye. The…",7.8
One More Try,Chinese TV Show - 2019,10 episodes,"""One More Try"" is a Chinese variety show that is all about original extreme sports, such as skateboarding. The season consists of 10 episodes, with celebrity leaders Wang Luodan, Wang Yibo and Cheng Xiao. The professional…",8.1
Go Fridge,Chinese TV Show - 2015,10 episodes,"In each episode, two guests bring their refrigerators to the filming studio and sit down to talk with the hosts and other chefs. At the end of examining the fridge, a guest selects two chefs to cook a dish for them to…",8.1
Yoo Quiz on the Block Season 3,Korean TV Show - 2020,162 episodes,"“You Quiz on the Block” is a program where the hosts Yoo Jae Suk and Jo Se Ho talk to civilians on the street and throw them surprise quiz questions. In the recent episodes, the hosts have been meeting with celebrities…",8.0
Keep Running Season 12,Chinese TV Show - 2024,12 episodes,"Keep Running is a reality-variety show which features regular and guest members. In each episode, members must complete various missions at famous landmarks to win the race. The missions almost always feature running,…",8.0
Youth With You VIP,Chinese TV Show - 2020,12 episodes,"""Youth with You 2 for VIP"" is a VIP exclusive derivative program based on iQIYI's self-made youth inspirational show ""Youth with You 2"". The program will create a new perspective by deeply digging into the content, presenting…",8.0
Time to Twice: Tdoong High School,Korean TV Show - 2020,6 episodes,The fifth season of Time to Twice in which the girls will be in a school theme for this season.,8.3
NCT 127 BKLYN BOYS,Korean TV Show - 2019,4 episodes,The members of NCT rent an airbnb during their stay in Brooklyn.,8.6
Save NCT Dream,Korean TV Show - 2019,6 episodes,"In an interactive live, Jeno and Jaemin set off to find Renjun, Chenle, and Jisung, who they hadn't heard from in a few days after the three said they would be going to a mystery lab. With the help of viewers decisions,…",8.4
GOT2DAY Season 2,Korean TV Show - 2016,21 episodes,Second season of GOT2DAY. A YouTube series that had each member of GOT7 participate in an open talk with each of the other members.,8.6
Divas Hit the Road: Season 2,Chinese TV Show - 2015,11 episodes,"Diva Hits the Road 2 is a reality show that stars Zheng Shuang, Jing Boran, Ivy Chen, Yang Yang, Ning Jing, Xu Qing and Mao A'min on a crazy journey across the UK, Turkey and Dubai. They have to survive all on their…",7.9
Youth and Melody,Chinese TV Show - 2021,10 episodes,"The golden song is a memory, a story, a classic youth, a creation, a renewal, and agolden song of energy . The youth breaks the waves. A show where in the entertainment companies send in their idols/artists to battle…",7.9
Begin Again Season 2,Korean TV Show - 2018,13 episodes,Overview not available,8.2
Cafe 7 DREAM,Korean TV Show - 2021,2 episodes,NCT DREAM start their own café.,8.6
Law of the Jungle in Sumatra,Korean TV Show - 2017,9 episodes,Overview not available,8.2
BLACKPINK - 'The Show' Behind,Korean TV Show - 2021,5 episodes,A mini-series exclusive to Plus members of Blackpink's YouTube channel. This series follows the rehearsals and preparations for Blackpink's first online concert 'The Show.',8.5
VIXX TV,Korean TV Show - 2012,100 episodes,Show on official VIXX YT channel which takes us behind the scene of members' everyday life.,8.3
SosatSeoulsay,Thai TV Show - 2020,243 episodes,"A show that follows the leads and actors that appeared in Thailand's boys love dramas.

(Source: MissFalling at MyDramaList)",8.4
Alumni Lovers,Korean TV Show - 2023,12 episodes,"We invite you to ""Alumni Lovers"", where the panels are all prepared to make over 100 funny and frank comments to encourage a couple to be matched. Including a heart-throb, Lee Seok Hoon, a professional torch-carrier,…",7.3
Stick Together,Korean TV Show - 2021,4 episodes,"NCT 127 enjoy an outing for 2 days and 1 night prior to promotions of their 3rd full album 'Sticker'.

(Source: foxyjo at MyDramaList)",8.7
Ta-dah! “It’s B.A.P“,Korean TV Show - 2012,10 episodes,"“Ta-dah! It’s B.A.P“ won’t be your standard run of the mill pre-debut reality show with scenes of the boys training; instead, the six members will be regarded as alien beings from another planet that are asked…",8.0
My Daughter's Men Season 4,Korean TV Show - 2018,16 episodes,"""Do you like me? Why do you like me?"" Questions that often appear on dates, will they change however if the daughters know their celebrity dads are watching them?! As the dads observe what kind of men their daughters…",8.1
Cool Kiz on the Block,Korean TV Show - 2013,174 episodes,One sport is chosen for a period of time and a team consisting of a few celebrities competes against citizens from all across South Korea. A few rules of the sport are customized to suit the broadcasting time. For most…,8.1
Girls' Generation Goes to School,Korean TV Show - 2009,9 episodes,Girls' Generation Goes to School is a South Korean reality show starring the popular South Korean girl group Girls' Generation. The show documents the debut of the nine members of Girls' Generation and their associated…,7.8
Time to Twice: The Great Escape,Korean TV Show - 2020,3 episodes,"In order to make their latest comeback, Twice must find the USB containing their newest single hidden somewhere in the zombie infested JYP building.",8.3
NCT DREAM Stay Under the Blanket,Korean TV Show - 2020,3 episodes,"NCT Dream doing stay under the blanket, with Renjun, Jeno, Jaemin, Chenle and Jisung, playing games, cooking, cuddling and enjoying their time around.",8.7
